Altitude (m),Airspeed (m/s)
4247.7902861321345,258.8366553038253
4225.586093660444,253.56470492687006
4192.639189932495,249.6949995309488
4162.224984946661,249.1510872452855
4132.235602945089,246.0258247914104
4102.197583310306,246.67021037207056
4069.7022664304823,250.77362287188154
4038.046773328446,254.34360396178405
4009.25670191925,254.38649346845378
3972.981836054474,253.48909089378085
3937.2680101925507,250.15453116238655
3904.691515708342,247.58677206468414
3872.6307368772104,247.87864741766893
3835.443810308352,249.834468318975
3803.441204654984,255.2364492641794
3767.6200884385034,257.7723955106148
3730.877874993719,259.4233703284902
3696.067602752708,258.9105211834227
3664.302667507902,256.2267470015091
3626.342701656744,256.5852639678918
3595.33333501406,256.42550338530236
3559.9019130542874,258.32916378095445
3527.2838893793523,261.5139248246904
3490.5557029945776,262.74437489128394
3454.1024502459913,264.1645800317779
3416.3085281588137,264.31115970234777
3384.683529672213,263.7812108701798
3346.8643844611943,262.5385084619152
3314.2446197960526,260.1514460639616
3278.1892323363572,261.65692376532934
3239.3516856469214,263.09541983142026
3201.36334427353,264.6345142395783
3169.1761313760653,267.0277214341165
3132.1810004282743,267.1122176295992
3099.0437496863306,265.87320854693206
3062.3510092450306,266.49651723495145
3024.5004067951813,266.60599888741115
2988.923993504606,266.3940730647285
2952.0747459232807,265.5760493434424
2915.1165895638987,264.699525286419
2878.6004438903183,263.6564399277543
2841.8728442126885,262.87245406228516
2806.932992162183,263.9579874893679
2769.0981780607253,264.0125638427232
2730.781882070005,264.8761610993332
2695.8998226691037,266.1549259882682
2657.0679537709802,266.8230829227877
2619.0748547026888,267.69508216953966
2580.018762793392,268.3866598081225
2542.918421057053,269.8338636590408
2505.377775504254,271.2912297542685
2468.1311572380364,272.8526147051393
2429.916622761637,273.1549576010868
2390.1706461831927,272.7134854745142
2350.8531887335703,271.84653175854567
2308.2360121728852,270.0315669118501
2265.6987807955593,268.49922481525925
2223.7274730317295,267.67475205992264
2180.367790260352,267.697941271855
2138.2569282818586,268.59732245308123
2087.319653888233,271.07111481757426
2046.776885039173,272.41878390047566
2007.9526839144528,273.21973770176743
1973.582313238643,271.82444579151894
1936.3797310283408,271.6113417365555
1903.172399370931,271.65659133165184
1867.8345730314031,271.97203113148976
1830.0632732240483,271.2048454144803
1793.5302130011842,270.3364671387473
1758.8312032362446,270.9474299997008
1723.0569835389033,270.99923138303717
1687.419429436326,270.63594064812895
1656.3217682354152,269.8058821867144
1616.5913762431592,269.8394603810401
1583.6253048619255,268.5911313157565
1547.4847712349147,268.20814007693775
1508.80507380981,269.1556402251856
1472.4730540197343,268.9646406502313
1436.9840517230332,268.25906630257526
1399.555177045986,268.50892617862047
1366.2765083787963,269.35758058126737
1333.7838912354782,270.448958064201
1293.76193504408,269.7454469050921
1262.6520440811291,268.91128284797645
1223.5059434724972,268.98153112545117
1186.072296725586,269.5864498244662
1152.1153599293903,270.1843040549055
1115.863116113469,271.35361065313623
1074.8998627196997,272.63846502573205
1039.266081765294,273.69872262937776
1005.0157947037369,273.6926582959698
967.4271808601916,273.8482663120357
928.3894953848794,273.34160295588026
894.2278281133622,272.4268714608031
857.696883296594,271.1874127230274
822.7074674088508,269.8327184084684
788.8144042268395,269.49229673463907
750.9517960669473,269.28220461185424
712.2890995591879,269.4495855615647
676.9949059151113,270.01533851675885
637.2816449785605,270.2228403044642
602.1892501953989,270.80418809854086
562.3748676311225,270.9063913373172
524.4846211662516,271.07994695229263
488.77433949615806,271.1544223222507
457.9607134759426,271.01297872450795
419.64368400815874,271.0508119035633
386.55305915884674,271.1511650582223
352.1578576108441,271.2516477131929
313.85978821851313,271.3602320505145
280.6446826476604,271.44943311907156
242.19734016619623,271.54847960687187
204.03174251317978,271.6421070237449
171.4292785562575,271.7163421262859
