Altitude (m),Airspeed (m/s)
4244.539746169001,254.9876872229005
4221.530696387403,246.3217700426485
4191.124922302552,243.4968033044438
4160.730126494542,244.23459151663192
4122.27913959045,245.15535745713208
4092.565040599555,245.88434882535935
4062.849945771508,246.5897434799242
4029.850810803473,247.34740872054854
3995.2739388868213,248.14041191313066
3964.5166301662102,248.85759689896585
3929.223949339241,249.63049058528705
3893.3494137311354,250.4198479381374
3857.1497867312282,251.20099676745804
3823.947348697111,251.90679274440834
3791.438194764778,252.58097499105065
3755.13284615241,253.30412531748615
3720.527077549137,253.97727205091007
3681.146790398285,254.56226074127747
3648.6221439484507,254.7952497534417
3612.4303678181022,255.0231166521203
3577.1772319050506,255.28078277040163
3540.5869696997106,255.54442683849973
3504.371728574857,255.73235279368183
3467.0047141499817,255.9126859879157
3430.429194265045,256.11651232794173
3393.9007355915383,256.30705806826893
3357.778591514565,256.51740406927905
3322.026357555762,256.7053343193393
3285.2947928579524,256.85544186125014
3252.5622401693836,256.9653440872496
3210.57003861852,257.1086724619931
3175.300470343791,257.27427164520816
3136.7113466542214,257.3117830826556
3100.8340868297964,257.4436530450423
3066.2657304862514,257.4189246317499
3028.69819531776,257.5322699545264
2994.6647842386737,257.57927455954933
2956.961767392233,257.46790239519044
2919.5046973833814,257.24393384331427
2880.093840050511,256.9634215959852
2841.931176016107,256.74766428568614
2805.5182409305125,256.71965456249984
2765.387337294407,256.7506922776349
2731.356346147135,256.83711425769565
2693.4900060752407,256.9586714806655
2657.427648575045,257.1366766620938
2624.262726164423,257.244059019525
2581.5966190360487,256.5792591189554
2547.527199175209,256.68062583092035
2509.6458424907178,256.79840134037624
2474.666540844366,256.8164555811342
2436.601274893619,256.9244681205676
2401.665177184157,256.9424388019426
2366.0512513266876,256.8772817276949
2325.148175161332,256.8315572595875
2285.321626880206,256.86413060625637
2241.63482955005,256.8772807986165
2202.443690497428,256.93500693545775
2156.410886171274,256.8732462937687
2110.3275359841064,256.80124935918127
2069.5897618550807,256.7115265173196
2021.7721464643255,256.57627885924944
1976.8026225101203,256.5480400772738
1941.598844259046,256.6991849827189
1903.0739864259958,256.92958161837726
1867.4564901757985,257.05005704272435
1833.5565411401913,257.07964349990766
1797.744943793863,257.2896226752335
1759.7409850647673,257.49570223113005
1725.1404024334624,257.6490993406178
1689.6252485532314,257.7796956449803
1653.6415410703048,257.8831409878194
1615.7284553423524,257.87867510934643
1581.9982205266133,258.0281057255308
1545.9681483116,258.23283042369974
1509.2035189699382,258.4070872289341
1471.7413983866572,258.55911667886795
1435.9473631102592,258.74796225897137
1400.943888437003,258.94685749688415
1363.990238936618,259.08321940516623
1327.7382864011452,259.24175369934113
1292.0123617574573,259.3976015350908
1257.1215752186254,259.5636384857404
1219.6058881441131,259.7668103770643
1182.7412918666378,259.9639938197173
1152.572069171816,260.10046907737586
1115.966871415265,260.2950255607907
1078.7536645503715,260.46325219880816
1044.0221821833402,260.57486230357813
1005.393184825778,260.78014150598744
971.454263526015,260.8993731300572
933.8654507733881,261.04000886543224
896.8678592871875,261.17226951657284
862.1617611432448,261.375939074228
824.559028997086,261.4304291585009
788.8528820443898,261.5523468987126
750.4741923129186,261.7195529826155
713.6983025129884,261.8986775267485
678.156935038045,262.10482723097414
642.8481292203069,262.30989262793275
607.0173612404615,262.5101130863323
570.9005774687976,262.6698804927617
531.5842404803261,262.8278987775576
495.787639958784,262.9801091405458
458.7655749823898,263.0971790227131
422.8996389331296,263.24685050176214
385.62023157812655,263.41128157735227
349.7627851506695,263.6606831960912
312.78181970957667,263.8176977323625
274.2492427825928,264.0759441265391
239.21234730351716,264.2687285421939
201.90475139394403,264.4657005471978
164.60960336122662,264.803328849145
