Altitude (m),Airspeed (m/s)
4245.172677014954,259.24961059056864
4223.200376859866,249.99167084892045
4192.741514285095,245.22426146432812
4161.300020582974,250.51129445106594
4130.56728928443,257.39880538754926
4099.349713568576,253.32784762030317
4068.4618997434154,245.1409517654725
4038.6441446756944,248.57776533901327
4003.7775272624567,253.1239412834438
3972.035207539797,256.41786204765526
3937.3460390008986,257.948217738228
3904.037031887099,252.87648211999212
3866.5542923128232,251.1128900592211
3831.524854890071,255.07042070414943
3797.1867144322023,259.39535966943794
3761.765939451754,261.3690444152468
3732.4522257307544,259.41743867714973
3697.6632411554456,255.5172925499873
3664.2932948870584,253.45310182647594
3630.8598723486066,254.78185483459353
3594.58701737877,255.51609866499172
3557.107291459106,259.09790765907627
3522.158673139289,261.8699941883869
3487.171998688951,265.06848772160635
3450.2672655228525,265.9543156653125
3412.2412892179564,263.5233910573614
3375.684144206345,261.777949731037
3339.077174034901,257.1070599419352
3304.802830716595,257.47201576395287
3266.939785835333,257.0220571009837
3231.0242946259677,261.9485015479357
3192.7966895801947,264.5723437449205
3158.3246200997382,268.28927334698744
3119.9948138045147,268.62440627633816
3081.014021836221,265.10002105644753
3045.394188929349,263.2411648895123
3007.888993390836,260.64175002711204
2973.537861617282,257.89053565444493
2937.9506674120203,258.8534174733358
2899.244009840302,260.8992301250608
2861.138876300305,267.8426817486877
2825.783009535633,269.7691385776438
2786.3985999450088,271.000164052078
2749.405118567869,268.4972286262907
2712.3608108554035,264.7599480265871
2675.0455584647134,263.10989166821935
2636.5284619107842,261.3157321491781
2599.768585932441,261.5227071548676
2561.3010520925745,260.1376482568449
2529.5710412254557,264.2250240250299
2491.4024207899347,266.0168562932486
2452.6026883963495,266.9236560478739
2414.845361837186,270.8976751375451
2376.2371313069016,273.1132253242125
2335.6250418303534,276.3779373172115
2293.020856535062,276.50364203888876
2249.7153780423105,272.8833205827575
2208.164098531939,270.8187450005355
2165.5280411867425,269.9750384581933
2123.1641555260867,273.8729848172283
2082.8192499568686,273.2900187471203
2041.9695979729295,275.2858299104963
2004.9629004178569,276.1156827375124
1964.7407081322744,275.9617504813054
1933.0952903013676,274.50172370279927
1895.7324777226895,271.37014740355687
1859.7415812918916,269.1746166460752
1826.334443599917,266.12366047396375
1791.7117286156863,266.52859044104514
1760.74290389847,271.23234951801606
1724.4150354377925,273.34071255801007
1692.3004805864766,276.3210006741447
1654.2206864710897,276.5639603599706
1614.6871032621711,275.12692632504474
1582.7911753589287,272.8125398102251
1545.2991309259087,269.509097129595
1508.034324778244,268.1661083573835
1470.321440897882,266.82978175285456
1432.6126545574516,266.4185052431515
1394.3383887764066,267.2748358987467
1359.6143958372995,266.77374972954254
1326.6456597587094,268.16665392393674
1294.2250011833385,270.6291584662987
1256.439513720572,270.1138436825292
1221.5530282603577,270.11677627322786
1185.2111000800505,268.7371693552764
1145.985315753147,268.1506942784351
1108.4487927146256,268.1137064379097
1074.9487860798836,270.3435674793943
1041.1910622324795,272.3351014155173
1004.3801959361881,273.84511586189615
965.5962547557428,272.4454913747172
926.1385636506602,270.62305326420454
887.5308068087325,271.51082333973886
851.6634655073285,273.45628131447796
813.7190564461052,275.1323021402764
778.6821065731347,275.73004678295445
744.9873537104577,274.35857840172935
699.034734540619,269.5533523876688
662.3232023315504,270.6530724948878
625.695370436646,272.4910141592598
591.2910270197317,269.1849371403993
555.2935242373496,265.0213630836763
521.7157342322171,262.4427317272238
486.8587055373937,263.4501033571718
454.71275671292096,268.6023592659038
420.06542671471834,271.7117158277785
382.914763180539,273.57866138912374
350.4000742258504,273.1840853932397
316.68190876208246,271.49276373496
278.3195576053113,271.0762912575857
241.11456569470465,270.0771548022525
206.44267583079636,269.54194051517743
173.59592574927956,271.5858446853642
