Altitude (m),Airspeed (m/s)
4251.388455802575,264.8559615751338
4201.225466361269,247.1172987114857
4149.530504602008,252.90964813783188
4118.267293225974,252.49540327406848
4088.897218188271,244.84144049666367
4060.460507562384,250.9393184257575
4030.7423113053665,244.5961707180895
4000.1198808373883,235.4605027596332
3965.968956994824,237.17854913447462
3936.0571952080354,246.342696118434
3904.1891370993108,245.96764006700315
3867.765704194084,247.72765478722397
3837.6007426399738,245.5861871665027
3803.277492565103,254.22713282796767
3768.022963181138,261.35181000234286
3738.7927397331223,264.11529590637645
3703.706125535071,259.9466084583416
3668.8153119878843,253.22813425419287
3632.9360145172104,248.911032642647
3599.6406712019816,247.41881907649142
3563.346557754092,250.72774031877736
3528.3487193332985,255.9110136021021
3494.4809861388057,256.8156240928183
3459.9050913425162,257.4033651405658
3423.7722696652636,255.19870640402326
3390.0372574813664,250.61274420161948
3357.0583617016673,250.03979051570076
3322.8741209814325,254.07334306484722
3284.7905087349936,259.44206437826693
3253.461394175887,265.5586929114323
3220.4673635764048,268.46902495508033
3185.7381424857304,267.2323455510631
3149.9022882087156,262.3092049773269
3113.9730800166726,253.0278608033437
3075.8152935504913,247.3910919663413
3038.850635804236,246.330505622357
3004.570352209732,252.67696824539743
2967.0316140428185,257.9323917684315
2931.2602838594466,263.72573455195777
2893.1263319347054,269.4076176065497
2858.3328008577228,272.94237399121084
2820.1658008396626,276.383399726389
2782.061467850581,276.6417594011015
2746.8653521314263,273.6882633824891
2708.851762363687,271.43547291758836
2671.919864873402,266.94107390094814
2636.470143600367,261.37073712465894
2598.846342710778,257.39979321088083
2559.4848796641454,257.15888729144683
2525.4266523811966,256.0935249370075
2486.2456785663962,258.28996873064733
2449.365285931155,260.16229488379486
2411.2591296061873,262.19998166295375
2372.1199507536367,265.3276696332194
2328.2898686956614,270.22826475591563
2286.8211099701,273.080332428133
2242.4975441191345,273.9588370711767
2201.4224582724273,272.2181297097034
2159.745377184823,269.0294346686248
2117.345839998685,265.7184000666018
2070.0255418326706,258.2809562885426
2030.5644571343437,258.9901743178335
1991.3763376222923,261.20634877283334
1954.0509969368577,264.5391741606604
1914.8091491889209,268.1022227217663
1876.757750943303,270.41676822458004
1844.4034989634529,272.6447779580353
1805.0968081848696,272.1213373773275
1773.1104407403618,275.6258740119366
1733.701946908608,275.0670803048504
1697.9846733333543,275.7003994184999
1662.4662187388167,276.05534760056935
1626.2484088530764,274.99426326702763
1593.214281548746,272.4481266844423
1559.903197227046,269.2321387668216
1525.6837230082601,269.57854032443043
1488.2620457326993,270.82660970654024
1454.200924668461,270.54132217283313
1421.8454977488145,265.5751098642949
1384.1806996250525,263.4521704164943
1351.055752903223,263.810820176159
1316.5118188373744,265.9325924894141
1279.8389325896278,268.26324000230744
1244.8640514947474,269.58143983921866
1208.1627456033602,270.47205272396224
1170.380041490309,270.7362163536801
1136.081216270104,270.18669106596184
1102.5797010967508,269.53929068333383
1064.7243684148416,269.602101851059
1027.5672212131321,269.6359243400795
988.0853699399158,269.0759442236364
950.7890367433429,268.33244836500234
913.343624247238,268.3176298582902
884.0749933151528,269.87642959142823
844.788186701946,269.8417864272092
810.3835637187585,270.48159266446015
772.4481314765289,270.9074900221352
733.6873842170462,272.91387596922283
700.6109163109213,272.2400738276868
663.7584345955402,271.34344291085785
626.0923900846392,269.8399336145759
586.3248518295586,269.2604999179698
549.880907270126,269.16376521155337
512.5231990646571,269.7463844613209
478.5442911917344,270.7544206953673
440.1729617435485,271.2651739426634
401.6979598784819,271.5562571337041
363.9514328772202,270.736618046247
331.05365975387394,269.45919982167015
291.0144349485636,269.21030256829414
254.1725655850023,269.1705118162302
221.07382028084248,270.59656737291556
183.0063732387498,271.61744369495415
