Altitude (m),Airspeed (m/s)
4246.124132599682,241.55277541916584
4223.437367385253,237.80414185057057
4189.8926176428795,232.88461464298453
4162.173338370398,234.02232419725757
4134.329480109736,239.62754212001684
4106.344843388535,242.18401777629907
4073.907100471668,238.85252392418667
4045.5447695562616,229.87335555129346
4013.1568902740255,223.92210769468304
3978.210842579603,222.00747043628624
3945.8151080543175,221.13688987303442
3913.045367784798,228.00951560402072
3877.874420869164,235.0545523484091
3845.9267032844946,233.0431609068167
3812.959031966515,229.0476902520939
3777.5401943605393,233.20743915763612
3743.4531675316393,243.8149268913993
3709.2605987200513,251.91790740207605
3674.9379221061245,252.41508694792128
3640.977595488541,251.33240698026233
3605.6518682027236,249.6382054147988
3577.7242581807077,239.78421965872948
3542.3974434593692,239.66630279676738
3511.7790439035743,236.24888488522208
3476.236736738123,236.62077051753573
3440.596296224743,239.30571453720762
3408.6509206565097,248.66489043776033
3374.921986903064,255.08607140437806
3339.8865742813796,257.70900820848414
3304.4621820840985,258.70424940641976
3267.8503613043576,258.1731418245595
3232.0963340215385,256.4525333605522
3198.17149879504,252.2021133793849
3160.1853435430676,252.4070128178076
3126.437317820266,249.07343064583293
3090.9406603379175,248.5374565900604
3055.844323795289,248.90885211517306
3018.4350553816184,249.7155070786884
2980.4930740566924,249.92802086930874
2945.8973069759086,252.89619066096645
2910.6575678577647,254.864720519703
2873.36812055856,256.30193166585207
2836.5675336821005,259.22781144168965
2800.3062117910013,262.51786363349686
2762.570317523554,265.76724508748157
2725.487242054194,268.33730859498655
2689.6551248170435,268.82773213776665
2650.9623495824635,266.2441220264672
2615.6826282786205,261.889426209059
2578.7367309248075,259.5505663460263
2539.701151751913,258.4984791074481
2500.0459299730137,257.0957900511172
2460.0054357070476,257.3420606070575
2418.290089056827,258.4364061889937
2376.0070597454906,261.2895928350993
2332.8772315699607,264.89174840636366
2293.505856692791,265.9139392989105
2249.122444371693,267.76299840979385
2205.4369109245017,267.46855564035025
2156.440714470111,263.3871985682936
2112.038609037176,262.16532125404757
2068.0654233088717,261.2920889897533
2033.6248704018071,262.00385444926155
1995.8182908985764,262.5493038848736
1956.7566392794251,263.0854468191901
1926.6049463013187,264.84900069306076
1888.0279854405671,265.08428073322534
1854.5053317425773,264.3889132616854
1818.0016477890313,264.3454371083643
1784.2493828972802,263.96309477033776
1744.6560262581334,264.632188801384
1710.4685517661273,264.6999554260304
1671.1865981305018,265.31328068785035
1633.6432421859354,265.7283961768691
1594.9983264543116,266.33768287969525
1561.9958186671138,267.0979937747196
1525.2121384851635,267.3122211998884
1488.6179818520322,267.0923572049702
1454.2550940699875,267.34608604029563
1416.590981150046,267.32186637582413
1379.9220482166857,267.0334589673284
1343.1357575170696,266.6107742505282
1305.1691018585116,266.7903866991715
1269.1893349634483,266.9560726403391
1234.2283126041293,267.078274049003
1198.2543770875782,267.2191663533676
1161.727226804942,267.29636548923406
1125.3119206130505,267.2860758182059
1086.6212580353022,267.06209700311484
1047.0271469708532,265.5160205678188
1016.1086525861174,261.8840471608819
979.0264075752348,260.6984871360866
939.4676744407043,260.69740952772844
903.8541313847527,263.37260525473357
866.4107899768278,267.0505850510641
826.2871082099155,266.13014112467334
789.2614350561053,266.7801711643255
755.7729994915426,268.17011536999263
715.5844208551571,266.6608562593979
679.8115035733208,266.2227902782354
644.6844421885908,266.25037228364397
604.6980591164902,264.7111861368082
568.3074842114002,264.0034917634389
531.7633146457374,268.0960301510098
495.75372889172286,272.8681676533963
457.6272154217586,274.54652249596893
420.8370520072058,273.8575669026936
383.74772429745644,269.0530209251679
350.1379931923002,264.6259019470633
310.5034778797999,265.0479106011161
273.63616827502847,267.3446800132848
239.48294189944863,270.2029390865523
202.54874036367983,270.60405582077124
165.85580129455775,271.32432701698866
