Altitude (m),Airspeed (m/s)
4251.305911255069,261.2536616523044
4226.4845492700115,249.04529242656704
4165.4954380672425,242.00910684390126
4102.408397627063,239.358209479546
4080.5001783287153,239.9400606840837
4043.7740267636254,240.89626693688024
4013.864989966154,241.6480744780251
3983.749737086706,242.41296545298556
3948.831854605116,243.2876200923196
3915.304414663464,244.11296505689012
3879.0444464841858,244.98652308359553
3848.156122814864,245.73036072359923
3810.52082463447,246.61626236495283
3776.3896400192752,247.40250935897012
3741.440605084412,248.19959437366668
3710.1967688826844,248.89164204547237
3673.05643400643,249.71990702352844
3632.952973181382,250.58854668775595
3597.8740595104173,251.32723321573113
3562.0963147897273,252.06710218829167
3528.4893774287775,252.74957147835246
3493.692046216689,253.44589409329942
3457.99131642282,254.06992204663126
3418.8707311907783,253.9261216973485
3376.362991794944,254.232332475495
3344.47339494247,254.37386928841778
3309.1797613603994,254.65134516455817
3272.700958961621,254.8813302161944
3236.9193012705073,255.1340119132817
3199.5311289113015,255.31079879064245
3165.655318441801,255.45573455079793
3126.2469385266304,255.56201582441065
3091.4282675208524,255.62587788518027
3056.165008141659,255.67449838923227
3021.857557452284,255.76524930856596
2987.9656097535044,255.907541832309
2950.545557461679,256.0194253453016
2913.7770954240113,256.19583394330084
2879.4295536708087,256.2589220837167
2840.960084972903,256.35744264522503
2807.4851851072162,256.44450852680325
2769.0020988956094,256.5459727693564
2736.3658400233835,256.65670265616916
2702.4243729617447,256.72712317501777
2661.6351056667045,256.5116636249962
2628.1259591830894,256.5802665008645
2593.8799967123196,256.64708578722446
2555.5319026280195,256.7195432196618
2522.014887176454,256.7908929786306
2483.922207768075,256.878715432688
2451.7171498835087,256.96894864461626
2414.998624040745,257.0851018014054
2379.771088393405,257.0797609674879
2341.077229124494,257.07484092054983
2303.64100744389,257.1290940767602
2261.557574722916,257.18647108692295
2223.511141983792,257.1788532428113
2179.718536376022,257.11611086309665
2139.984277524054,257.07989904674423
2098.954169488512,256.94701003325906
2054.272245491855,256.3877306622853
2001.2645773338154,254.49079611561865
1960.3264548033476,254.41292062572037
1921.9262103494257,254.46443913166203
1884.8397408118472,254.5563268747433
1845.1230589570478,253.56860189717295
1813.7873768936843,253.41770496956016
1782.3563672788441,253.54622954789784
1744.8664138801396,253.58065352052498
1712.0953907892108,253.35621778290462
1679.4006888503209,252.93725701471897
1647.9904084838927,252.26439657306224
1614.2929297694936,251.71800454757656
1584.1535642072558,251.3474930604931
1550.3201147103682,250.36283951177197
1517.2147891344503,249.97762419964897
1489.1908678198233,249.74041901787692
1453.2229442615062,249.25136826713435
1421.9785205181688,249.13948483432492
1392.8228261163458,249.08655420720913
1361.8511544195935,249.02313892261006
1332.0932179559022,248.92816696659736
1300.7587611917406,248.77224460082033
1272.1711090616882,248.75068259371128
1243.0789353195578,248.72042507354928
1211.9995447983965,248.59007345053385
1175.0509125497192,247.38203675232418
1146.7421409338713,247.0558922631972
1117.504688755609,246.44699537315898
1083.9710933677852,246.00125563624644
1055.1292159389704,245.61384621641125
1026.8325073067099,245.1289190289065
992.7141939708963,244.62252999369514
962.8324797749519,243.95636172517848
934.0283923186362,243.35781433728513
906.118246617727,242.8088013354761
876.3569445814937,242.6004429101175
850.2090853229165,242.70925371616917
822.1805609613657,242.46674303490758
795.2148840408772,242.12419754387938
769.7562431525439,241.65257099322568
747.2754433583468,241.43887146187214
720.072566267103,241.09082757971507
696.8494835393503,241.08222938044727
672.387995775789,241.23128529244153
647.4942302471027,241.4793204868564
620.4335904922336,241.80523442349693
598.0322811603546,242.08724333549435
572.0311474557966,242.4025026504444
545.9960056431592,242.7113097213979
521.9575080256909,243.00036089012522
497.2295768801123,243.29061542164794
471.0844819173217,243.5971191429404
445.21396838501096,243.89063907531863
420.4678634842858,244.17355524276886
393.4998606182635,244.47754109656782
369.54558814689517,244.74831248599696
342.8286370150745,245.04448600605508
316.6502917269245,245.3324056303486
290.52515265345573,245.61797545393716
264.337981143035,245.89896786351636
238.83199737407267,246.17239345124136
213.7699117520824,246.4336431109274
186.98679808806628,246.7122550540512
